bik;name;coraccount;isactive;isbank;address
046902759;ТФ ОАО 'МДМ БАНК';30101810100000000759;1;1;ТОМСК, УЛ.БЕЛИНСКОГО,15А
044525777;ООО 'ЧАЙНА КОНСТРАКШН БАНК';30101810000000000777;1;1;МОСКВА, ЛУБЯНСКИЙ ПР-Д,11/1 СТР.1
046015778;РОСТОВСКИЙ-НА-ДОНУ ФИЛИАЛ АПБ'СОЛИДАРНОСТЬ';30101810000000000778;1;1;РОСТОВ-НА-ДОНУ, ПЕР.УНИВЕРСИТЕТСКИЙ,115А
048702781;АКБ 'СЕВЕРНЫЙ НАРОДНЫЙ БАНК' (ОАО);30101810000000000781;1;1;СЫКТЫВКАР, УЛ.ПЕРВОМАЙСКАЯ,68
048602781;Ф-Л ООО КБ 'ФИНАНСОВЫЙ КАПИТАЛ' ПЕТРОЗАВОДСК;30101810000000000781;1;1;ПЕТРОЗАВОДСК, УЛ.КРАСНАЯ,28
046902781;ТОМСКИЙ ФИЛИАЛ КБ 'РОСПРОМБАНК' (ООО);30101810000000000781;1;1;ТОМСК, ПР.КИРОВА,5 СТР.4
044705782;МУРМАНСКИЙ РФ ОАО 'РОССЕЛЬХОЗБАНК';30101810000000000782;1;1;МУРМАНСК, УЛ.ПАВЛОВА,11
044030784;ФАКБ 'ИНВЕСТТОРГБАНК' (ОАО) 'БАЛТИЙСКИЙ';30101810000000000784;1;1;САНКТ-ПЕТЕРБУРГ, ПЕТРОГРАДСКАЯ НАБ.,16,ЛИТ.А
048717785;ФАКБ'СЕВЕРНЫЙ НАРОДНЫЙ БАНК' (ОАО) В Г.УХТА;30101810000000000785;1;1;УХТА, ПР.ЛЕНИНА,1
049033785;СЕВ.-ОС. РЕГ.Ф-Л ОАО 'РОССЕЛЬХОЗБАНК';30101810000000000785;1;1;ВЛАДИКАВКАЗ, УЛ.КАНТЕМИРОВА,2
041203788;АСТРАХАНСКИЙ ФИЛИАЛ КБ 'РЭБ' (ЗАО);30101810000000000788;1;1;АСТРАХАНЬ, УЛ.АХШАРУМОВА,3А
